"","23R8925|009|CD11c","23R8925|010|CD11c","23R9663|015|CD11c","23R9663|016|CD11c","23R9663|004|CD11c","23R9663|005|CD11c","23R9663|006|CD11c","23R9663|007|CD11c","23R8925|013|CD11c","23R8925|014|CD11c","23R8925|017|CD11c","23R8925|018|CD11c","23R9663|009|CD11c","23R9663|002|CD11c","23R9663|013|CD11c","23R9663|001|CD11c"
"AKR1C4",22.6701156939674,18.8964886771438,26.9063688012985,25.9760493212869,28.5872742505335,26.0372906313478,25.0211359226351,26.6633129265276,28.4011446330594,27.6001559538575,19.7702172868786,18.607455561635,26.6232102630811,28.1742343324199,21.2301226019554,25.6891679930905
"IRF8",167.895060382743,178.881838715353,230.280118652127,492.901032071179,316.816708579796,346.250556335785,295.878434957534,308.843358227565,168.34049109431,257.077549384208,189.44606445698,227.754472343572,293.675442680577,226.614640548177,232.607963330748,228.657526035068
"HLA-DQA2",29.553147899602,29.9525672733956,38.0714175409532,36.7118151866991,39.2374928060788,34.8756859577933,32.4805498544083,32.3068245323812,49.1452357616547,42.7767405525971,28.2345266000612,28.5458807572774,45.3899025307602,65.6558216144823,46.8863747717364,62.2081148027192
"PLA2G6",36.7896511748363,34.2463640911066,33.9728544575245,35.9246414516889,34.148299445006,33.4355782536177,31.2097842765415,33.3615687678213,27.834692100788,40.0112840222209,31.8359448696598,28.7418607215983,31.7436812325467,28.6986408516114,26.6406286755931,39.5586822735647
"SFRP4",30.1686254817893,30.083547985154,33.2544387729482,32.1015233361795,36.0048590206977,32.7453827384202,33.9821732961295,33.7115675478814,32.4847383488645,29.1454778407324,29.6716469781386,30.4656364496831,37.8531091754307,36.425788270173,29.0428847019693,41.706729663566
"NAALAD2",29.8399348853772,29.0222735110489,32.0835097208647,34.4073844401102,31.9816269827489,31.3822274804542,30.9223198976933,33.3219046686018,30.7826695959184,35.6026236907293,25.775768028758,28.6846496131553,29.4946789116176,36.596517385805,23.6466238687614,36.7145679660995
"RPL23",1420.86307774102,1360.35043902052,1278.76692936551,1002.70545582229,1165.91725036322,1262.3876327523,1225.04499017344,1113.59355307923,900.694906751042,1048.29896910934,2542.00206969327,2433.36115140332,935.203137280759,786.875759358675,1393.38486547637,804.450819361803
"RANBP2",57.1577690908257,60.9505914460828,60.1542292535948,56.2513834693053,52.8671739166172,57.9108447456574,57.7023203615592,57.9946449734958,54.7637116947744,72.2107271438074,70.8720766886162,67.6946176302601,63.879686887492,53.0410746758189,57.0304994714755,60.1819175804958
"CD3E",149.23011978476,142.404835226904,94.3193357179675,69.3909421689734,70.8142435445336,86.5389336835923,90.2018997984802,74.2567950853537,45.6687385878159,62.6793954938885,109.635277076466,103.656530252359,51.4361547829832,56.2697126971146,69.2728937811543,52.8389757725854
"TIRAP",30.0601554947872,29.4314030943428,32.7205711298923,30.163409408902,30.5469013060681,29.3005193512683,30.0639920448347,31.0746175837036,33.0753757667148,35.6251126559972,35.1349894724471,32.9779508225326,32.3356402176632,38.0348930662887,27.2079591813397,33.0151226836376
"THBS1",52.0658648810595,46.2779417458759,59.9290837416062,46.4650717971986,77.0295014317997,65.5382267051412,64.8676449814956,64.544195714458,83.4385229107301,71.4638964825925,42.7730794317834,44.0546081575776,53.9744024780509,60.5553186789379,49.499948888707,61.3332517861398
"WNT3A",19.2087053392047,23.0446386302896,23.6778487593838,23.3875948636858,19.9083541544213,21.2804119571817,22.0720988396121,24.5156434369896,23.3668653725353,23.8445374192984,22.1010909594796,24.2952836252803,23.2991345191025,24.2729492892316,22.1990558989666,25.8431946006976
"EWSR1",105.023379617577,103.494808385757,95.9257966909248,97.3143437884292,90.1836460188522,99.70050276102,100.560160671695,84.7592154769872,91.6460937837317,108.901628124219,116.483066785239,105.955992523474,97.3106292041493,71.7920619566424,107.416356458174,69.6346106039547
"EIF5AL1",26.949543576572,24.8955981030629,27.0151577384703,25.506506376027,25.710655621238,24.5969484218603,24.7275292181903,27.4209749043795,27.9621088857495,29.1766907838597,29.2469451770035,24.6578038027494,28.5700455713778,29.4249433160243,24.3870069092516,32.7145077240847
"IRAK1",50.6775706984175,50.8140529092748,55.1324678741392,49.5821819775247,53.0542751633775,53.0819756926643,53.7824579983375,51.7021472754876,58.6929073878661,52.3261143450696,58.1790170687544,56.4742494916823,54.3851550797753,48.0478422086678,55.9731688182447,54.8256463604192
"CBL",57.8691812036165,60.8172735096144,62.0533046156668,64.2839619242072,59.4751819375346,67.1397658918065,60.6134064451393,55.887826030175,50.5496232109709,56.370515776218,59.7271549261873,73.7893832587286,56.2326207621772,58.3152013807755,55.7952843862808,53.9758656410784
"HLA-DQA1",65.310975241632,72.7618477151616,112.593466999997,128.328733162164,143.450892798469,122.71737071365,108.097965393127,101.858420348137,209.348795741995,212.262621342975,122.224352734998,152.311777506296,206.488087463238,203.357909465716,250.365654477071,201.081249974499
"CCL25",21.1889890260304,20.4311743814949,21.0074921909234,21.8220383847732,23.1210892749997,22.6075485324103,24.434730440782,23.3800342747511,22.1851593494638,27.299888731053,28.1964225849781,20.0929155437587,21.7196694344822,32.0100780005631,18.8375769802373,30.079620170445
"CCNA1",25.4905880603624,24.2040850416409,26.7689629058144,23.8555259114812,24.6526409080646,26.1127966752773,28.4892826795316,29.3615858156116,29.3395307179942,26.7121505837165,23.4403979832848,28.4195277228063,28.020581798564,29.2297063015438,16.2984479036023,31.0795969620312
"VEGFB",57.2265431128738,52.8687996962683,52.5976936637725,53.9055509430847,59.9186351852743,59.6250018264784,58.6857846907184,59.5980005332435,55.0506063807473,49.6211608425084,64.7692224177095,60.20946849547,52.5853767361217,60.3370022856087,56.6410530307501,62.4304151756276
