Gene,Signature,Type
P4HA1,Amino Acid Synthesis & Transport,Metabolism
KMT2D,Amino Acid Synthesis & Transport,Metabolism
BCAT1,Amino Acid Synthesis & Transport,Metabolism
ACSF3,Amino Acid Synthesis & Transport,Metabolism
NSD2,Amino Acid Synthesis & Transport,Metabolism
NOS3,Amino Acid Synthesis & Transport,Metabolism
EZH2,Amino Acid Synthesis & Transport,Metabolism
PYCR1,Amino Acid Synthesis & Transport,Metabolism
SRR,Amino Acid Synthesis & Transport,Metabolism
NOS2,Amino Acid Synthesis & Transport,Metabolism
ADH1A/B/C,Amino Acid Synthesis & Transport,Metabolism
ADH6,Amino Acid Synthesis & Transport,Metabolism
NAT8L,Amino Acid Synthesis & Transport,Metabolism
HDC,Amino Acid Synthesis & Transport,Metabolism
SLC1A5,Amino Acid Synthesis & Transport,Metabolism
GLUL,Amino Acid Synthesis & Transport,Metabolism
LDHA,Amino Acid Synthesis & Transport,Metabolism
ARG1,Amino Acid Synthesis & Transport,Metabolism
SLC7A5,Amino Acid Synthesis & Transport,Metabolism
SETD2,Amino Acid Synthesis & Transport,Metabolism
GLUD1,Amino Acid Synthesis & Transport,Metabolism
EHHADH,Amino Acid Synthesis & Transport,Metabolism
LDHB,Amino Acid Synthesis & Transport,Metabolism
ADH4,Amino Acid Synthesis & Transport,Metabolism
KMT2C,Amino Acid Synthesis & Transport,Metabolism
KYAT1,Amino Acid Synthesis & Transport,Metabolism
NSD1,Amino Acid Synthesis & Transport,Metabolism
SUV39H2,Amino Acid Synthesis & Transport,Metabolism
P4HA2,Amino Acid Synthesis & Transport,Metabolism
GOT2,Amino Acid Synthesis & Transport,Metabolism
FOLH1,Amino Acid Synthesis & Transport,Metabolism
PSAT1,Amino Acid Synthesis & Transport,Metabolism
ARG2,Amino Acid Synthesis & Transport,Metabolism
SFXN1,Amino Acid Synthesis & Transport,Metabolism
PHGDH,Amino Acid Synthesis & Transport,Metabolism
SLC16A2,Amino Acid Synthesis & Transport,Metabolism
OAT,Amino Acid Synthesis & Transport,Metabolism
PYCR3,Amino Acid Synthesis & Transport,Metabolism
TPO,Amino Acid Synthesis & Transport,Metabolism
ASL,Amino Acid Synthesis & Transport,Metabolism
MIF,Amino Acid Synthesis & Transport,Metabolism
ASPA,Amino Acid Synthesis & Transport,Metabolism
PSPH,Amino Acid Synthesis & Transport,Metabolism
RIMKLB,Amino Acid Synthesis & Transport,Metabolism
ASNS,Amino Acid Synthesis & Transport,Metabolism
PYCR2,Amino Acid Synthesis & Transport,Metabolism
GOT1,Amino Acid Synthesis & Transport,Metabolism
PLOD2,Amino Acid Synthesis & Transport,Metabolism
NOS1,Amino Acid Synthesis & Transport,Metabolism
NSD3,Amino Acid Synthesis & Transport,Metabolism
DNMT1,Amino Acid Synthesis & Transport,Metabolism
GLS,Amino Acid Synthesis & Transport,Metabolism
DNMT3A,Amino Acid Synthesis & Transport,Metabolism
GPT,Amino Acid Synthesis & Transport,Metabolism
RIMKLA,Amino Acid Synthesis & Transport,Metabolism
PIK3CB,AMPK Signaling,Signaling Pathways
CCNA1,AMPK Signaling,Signaling Pathways
LEP,AMPK Signaling,Signaling Pathways
RPTOR,AMPK Signaling,Signaling Pathways
CCND1,AMPK Signaling,Signaling Pathways
IRS1,AMPK Signaling,Signaling Pathways
AKT1,AMPK Signaling,Signaling Pathways
CREB1,AMPK Signaling,Signaling Pathways
PFKM,AMPK Signaling,Signaling Pathways
PIK3R3,AMPK Signaling,Signaling Pathways
PPP2R3A,AMPK Signaling,Signaling Pathways
PRKAA2,AMPK Signaling,Signaling Pathways
CD36,AMPK Signaling,Signaling Pathways
PFKFB3,AMPK Signaling,Signaling Pathways
CREB3L4,AMPK Signaling,Signaling Pathways
IGF1,AMPK Signaling,Signaling Pathways
CCNA2,AMPK Signaling,Signaling Pathways
MTOR,AMPK Signaling,Signaling Pathways
PPARG,AMPK Signaling,Signaling Pathways
RPS6KB1,AMPK Signaling,Signaling Pathways
AKT3,AMPK Signaling,Signaling Pathways
FBP1,AMPK Signaling,Signaling Pathways
PIK3R1,AMPK Signaling,Signaling Pathways
PIK3CD,AMPK Signaling,Signaling Pathways
LEPR,AMPK Signaling,Signaling Pathways
CREB5,AMPK Signaling,Signaling Pathways
PCK1,AMPK Signaling,Signaling Pathways
CREB3L1,AMPK Signaling,Signaling Pathways
PPP2CB,AMPK Signaling,Signaling Pathways
PIK3R2,AMPK Signaling,Signaling Pathways
TSC1,AMPK Signaling,Signaling Pathways
PPP2R2C,AMPK Signaling,Signaling Pathways
PPP2R2B,AMPK Signaling,Signaling Pathways
SREBF1,AMPK Signaling,Signaling Pathways
MAP3K7,AMPK Signaling,Signaling Pathways
PPARGC1A,AMPK Signaling,Signaling Pathways
STK11,AMPK Signaling,Signaling Pathways
PIK3CA,AMPK Signaling,Signaling Pathways
IGF1R,AMPK Signaling,Signaling Pathways
PPP2R1A,AMPK Signaling,Signaling Pathways
EIF4EBP1,AMPK Signaling,Signaling Pathways
AKT2,AMPK Signaling,Signaling Pathways
CREB3L3,AMPK Signaling,Signaling Pathways
PCK2,AMPK Signaling,Signaling Pathways
HDAC1,Androgen Signaling,Signaling Pathways
CCNE1,Androgen Signaling,Signaling Pathways
HDAC6,Androgen Signaling,Signaling Pathways
AR,Androgen Signaling,Signaling Pathways
KLF4,Androgen Signaling,Signaling Pathways
LIFR,Androgen Signaling,Signaling Pathways
TMPRSS2,Androgen Signaling,Signaling Pathways
NKX3-1,Androgen Signaling,Signaling Pathways
EP300,Androgen Signaling,Signaling Pathways
SGK1,Androgen Signaling,Signaling Pathways
MERTK,Androgen Signaling,Signaling Pathways
CDC14B,Androgen Signaling,Signaling Pathways
ARID1A,Androgen Signaling,Signaling Pathways
DAXX,Androgen Signaling,Signaling Pathways
TACSTD2,Androgen Signaling,Signaling Pathways
NODAL,Androgen Signaling,Signaling Pathways
B2M,Androgen Signaling,Signaling Pathways
NCOR1,Androgen Signaling,Signaling Pathways
CTNNB1,Androgen Signaling,Signaling Pathways
KRT19,Androgen Signaling,Signaling Pathways
ID2,Androgen Signaling,Signaling Pathways
TARP/TRGC1/2,Androgen Signaling,Signaling Pathways
SFRP1,Androgen Signaling,Signaling Pathways
ITGAV,Androgen Signaling,Signaling Pathways
RHOA,Androgen Signaling,Signaling Pathways
PPARGC1A,Androgen Signaling,Signaling Pathways
BRCA1,Androgen Signaling,Signaling Pathways
SMARCA4,Androgen Signaling,Signaling Pathways
RB1,Androgen Signaling,Signaling Pathways
MAF,Androgen Signaling,Signaling Pathways
DAB2,Androgen Signaling,Signaling Pathways
HPGD,Androgen Signaling,Signaling Pathways
CMA1,Angiotensin System,Metabolism
CTSG,Angiotensin System,Metabolism
MME,Angiotensin System,Metabolism
REN,Angiotensin System,Metabolism
CPA3,Angiotensin System,Metabolism
PIK3R3,Apoptosis,Cell Function
PIK3CB,Apoptosis,Cell Function
PSMB2,Apoptosis,Cell Function
