"Sample","DC","CD8 Teff","CD8 Tnaive_mem","CD4 Th","CD4 Tnaive_mem","Other","Total"
"C004516_SLN_Tregion",1104,2785,341,1684,890,17977,24781
"C173652_SLN_Tregion",20958,13339,2627,12152,6754,216616,272446
"C175061_SLN_Tregion",5484,3533,5134,592,1126,31941,47810
"C176488_SLN_Tregion",2707,325,2278,79,391,14533,20313
"C181097_SLN_Tregion",4614,7377,1937,1562,701,23443,39634
"C183066_SLN_Tregion",3666,1765,535,3342,1181,30914,41403
"C187858_SLN_Tregion",860,528,641,99,317,6189,8634
"C192619_SLN_Tregion",3099,5159,2238,5647,2800,115359,134302
"C194524_SLN_Tregion",739,650,901,178,1274,17569,21311
"C230444_SLN_Tregion",1114,1500,476,283,252,5686,9311
"C231538_SLN_Tregion",742,1385,19,408,10,9886,12450
"C234604_SLN_Tregion",1553,1818,146,1183,487,14896,20083
"C238936_SLN_Tregion",2164,1135,15,1866,99,22808,28087
"C239365_SLN_Tregion",958,2161,51,672,41,5415,9298
"C245576_SLN_Tregion",20465,1449,305,2873,1623,73029,99744
"C247323_SLN_Tregion",3807,2501,6065,1659,4610,25799,44441
"C249284_SLN_Tregion",6190,2449,1795,1211,2777,28123,42545
"C253113_SLN_Tregion",4450,473,40,2052,267,40057,47339
"C253810_SLN_Tregion",557,117,699,89,487,3612,5561
