"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
" CD163 ",-0.630253991596638,7.67248028846154,-3.29218230264012,0.00176138756675376,0.37260975419946,-3.12698329638138
" IRGM ",0.877118122689074,3.73325267307692,3.06299135769804,0.00342110247003254,0.37260975419946,-3.32552789119171
" TNFRSF1A ",-0.668158183193281,6.99831855769231,-3.01642485920537,0.00390236715817349,0.37260975419946,-3.36501394103051
" PDCD1 ",0.929703473949577,3.96603236538462,3.00294331944325,0.00405307940328665,0.37260975419946,-3.37638783440514
" HLA-G ",-0.988371405042022,5.78419219230769,-2.8932572077995,0.00549687169163075,0.37260975419946,-3.46792283212115
" LAMP2 ",-0.394230522689075,7.00804482692308,-2.7921846005008,0.0072365654124794,0.37260975419946,-3.55060586759216
" HLA-DQB1 ",-2.13716392756303,5.34608334423077,-2.73122473526105,0.00852593950546878,0.37260975419946,-3.59998487132703
" EGR2 ",0.783802546218488,5.32168128846154,2.70447975575526,0.00914404221275357,0.37260975419946,-3.62097491080528
" IFNGR1 ",-0.331798695798319,7.67648230769231,-2.66699560207052,0.0100920563791338,0.37260975419946,-3.65064085220454
" PRKCE ",0.535759430252098,4.54071925,2.66092526230509,0.0102537873753281,0.37260975419946,-3.65542142823275
" TNFSF10 ",-0.476971625210093,8.09708928846154,-2.66040646857128,0.0102677189285867,0.37260975419946,-3.65582968558291
" MAGEA4 ",1.10979501260504,3.41718507115385,2.65215316582481,0.010491692757108,0.37260975419946,-3.66231795460033
" VCAM1 ",-0.644748302521011,8.51287738461538,-2.59757600639347,0.0120887499113681,0.37260975419946,-3.70490934092397
" HLA-DQA1 ",-2.63931579431933,6.36878057730769,-2.59443851611202,0.0121961401717157,0.37260975419946,-3.70760797246809
" CSF2RB ",-0.385593448739495,9.20523465384615,-2.59032428643956,0.0123168690089401,0.37260975419946,-3.71052689495527
" ICAM1 ",-0.527077352941184,6.88122675,-2.58518136092568,0.0124810196580904,0.37260975419946,-3.71450487955406
" STAT3 ",-0.498649677310928,9.02158611538461,-2.58383788752604,0.0125242271341922,0.37260975419946,-3.71554321755611
" IRF8 ",-0.533075411764712,7.62921765384615,-2.55624414222318,0.0134423193838712,0.37260975419946,-3.73679406876052
" UBC ",-0.907538290756301,10.2436310961538,-2.51151638958382,0.015061007520425,0.37260975419946,-3.77092963382367
" TAP2 ",0.493137223529408,7.64764846153846,2.50773249285932,0.0152057363266169,0.37260975419946,-3.77379957184804
" IL1R2 ",0.686342257142856,4.69512413461538,2.50301117694387,0.0153880849168764,0.37260975419946,-3.77737655805181
" CTSL ",-0.792464073949586,5.98985430769231,-2.49756719670025,0.0156007990311672,0.37260975419946,-3.78149559889139
" C7 ",-0.878920710924369,8.38877263461539,-2.47757319618208,0.0164050386655937,0.37260975419946,-3.79657313026026
" SYCP1 ",1.07206943554622,3.30555317288462,2.47515621861363,0.0165047545526458,0.37260975419946,-3.79839038706611
" IL24 ",1.24970105882353,4.75505588461538,2.45296615925572,0.0174570636142931,0.37260975419946,-3.81523163807499
" THBS1 ",-0.587962302521009,6.80351473076923,-2.45060568370657,0.0175490631895608,0.37260975419946,-3.81678278505017
" AXL ",-0.560079255462191,5.87339551923077,-2.41569125555289,0.0191368286560221,0.37260975419946,-3.84272883579062
" SSX1 ",1.64939446722689,4.961158,2.39230041088136,0.0202832993131078,0.37260975419946,-3.86016187893702
" RELB ",-0.740580248739494,5.68934423076923,-2.3895029667712,0.0204112622031493,0.37260975419946,-3.86202551349123
" CD209 ",-0.700330289075632,7.87036996153846,-2.38468265298031,0.0206539661973057,0.37260975419946,-3.86556177763318
